,代码,名称
0,01618,中国中冶
1,00895,东江环保
2,06806,申万宏源
3,02727,上海电气
4,01528,红星美凯龙
5,00347,鞍钢股份
6,03678,弘业期货
7,01635,大众公用
8,00323,马鞍山钢铁股份
9,00338,上海石油化工股份
10,02866,中远海发
11,01375,中州证券
12,00568,山东墨龙
13,03996,中国能源建设
14,06196,郑州银行
15,00588,北京北辰实业股份
16,01053,重庆钢铁股份
17,02880,辽港股份
18,02009,金隅集团
19,01033,中石化油服
20,01211,比亚迪股份
21,06160,百济神州
22,00941,中国移动
23,01880,中国中免
24,00168,青岛啤酒股份
25,06821,凯莱英
26,03606,福耀玻璃
27,01088,中国神华
28,02318,中国平安
29,02402,亿华通
30,03968,招商银行
31,00921,海信家电
32,02359,药明康德
33,06826,昊海生物科技
34,03347,泰格医药
35,03898,时代电气
36,06690,海尔智家
37,09995,荣昌生物
38,01513,丽珠医药
39,09696,天齐锂业
40,01347,华虹半导体
41,06185,康希诺生物
42,00883,中国海洋石油
43,00874,白云山
44,02601,中国太保
45,01772,赣锋锂业
46,01171,兖矿能源
47,00914,海螺水泥
48,00981,中芯国际
49,00763,中兴通讯
50,02899,紫金矿业
51,01787,山东黄金
52,01336,新华保险
53,00358,江西铜业股份
54,00317,中船防务
55,02338,潍柴动力
56,06865,福莱特玻璃
57,01919,中远海控
58,02196,复星医药
59,01385,上海复旦
60,01072,东方电气
61,06030,中信证券
62,00564,郑煤机
63,02607,上海医药
64,01877,君实生物
65,02333,长城汽车
66,02628,中国人寿
67,01138,中远海能
68,00811,新华文轩
69,00995,安徽皖通高速公路
70,01898,中煤能源
71,01858,春立医疗
72,03759,康龙化成
73,02218,安德利果汁
74,03908,中金公司
75,06886,华泰证券
76,06869,长飞光纤光缆
77,00177,江苏宁沪高速公路
78,00038,第一拖拉机股份
79,02611,国泰君安
80,06127,昭衍新药
81,00548,深圳高速公路股份
82,00916,龙源电力
83,06655,华新水泥
84,00857,中国石油股份
85,02039,中集集团
86,02883,中海油田服务
87,03993,洛阳钼业
88,01776,广发证券
89,06680,金力永磁
90,06099,招商证券
91,06066,中信建投证券
92,03328,交通银行
93,06198,青岛港
94,01157,中联重科
95,00902,华能国际电力股份
96,02600,中国铝业
97,00939,建设银行
98,00719,山东新华制药股份
99,01186,中国铁建
100,02202,万科企业
101,01071,华电国际电力股份
102,01963,重庆银行
103,06178,光大证券
104,01800,中国交通建设
105,01766,中国中车
106,00998,中信银行
107,00386,中国石油化工股份
108,01108,凯盛新能
109,09969,诺诚健华
110,01398,工商银行
111,01658,邮储银行
112,00728,中国电信
113,06881,中国银河
114,00390,中国中铁
115,06837,海通证券
116,00598,中国外运
117,00753,中国国航
118,00956,新天绿色能源
119,03988,中国银行
120,02208,金风科技
121,03618,重庆农村商业银行
122,00107,四川成渝高速公路
123,09989,海普瑞
124,01816,中广核电力
125,03958,东方证券
126,03969,中国通号
127,01456,国联证券
128,01288,农业银行
129,01065,天津创业环保股份
130,01055,中国南方航空股份
131,02238,广汽集团
132,01988,民生银行
133,01330,绿色动力环保
134,01339,中国人民保险集团
135,00553,南京熊猫电子股份
136,06818,中国光大银行
137,03866,青岛银行
138,00187,京城机电股份
139,00525,广深铁路股份
140,01057,浙江世宝
141,00670,中国东方航空股份
142,02016,浙商银行
143,03369,秦港股份
144,01812,晨鸣纸业
145,01349,复旦张江
146,02068,中铝国际
147,00991,大唐发电
148,01618,中国中冶
149,00895,东江环保
150,06806,申万宏源
151,02727,上海电气
152,01528,红星美凯龙
153,00347,鞍钢股份
154,03678,弘业期货
155,01635,大众公用
156,00323,马鞍山钢铁股份
157,00338,上海石油化工股份
158,02866,中远海发
159,01375,中州证券
