,序号,代码,名称
0,1,837592,华信永道
1,2,836239,长虹能源
2,3,870299,灿能电力
3,4,830799,艾融软件
4,5,837046,亿能电力
5,6,837092,汉鑫科技
6,7,831396,许昌智能
7,8,834058,华洋赛车
8,9,872808,曙光数创
9,10,871245,威博液压
10,11,872895,花溪科技
11,12,430198,微创光电
12,13,837174,宏裕包材
13,14,839493,并行科技
14,15,430047,诺思兰德
15,16,872925,锦好医疗
16,17,836699,海达尔
17,18,830964,润农节水
18,19,832978,开特股份
19,20,871970,大禹生物
20,21,920002,万达轴承
21,22,873726,卓兆点胶
22,23,834062,科润智控
23,24,873806,云星宇
24,25,872953,国子软件
25,26,834770,艾能聚
26,27,430489,佳先股份
27,28,839790,联迪信息
28,29,837748,路桥信息
29,30,870357,雅葆轩
30,31,833075,柏星龙
31,32,831167,鑫汇科
32,33,831087,秋乐种业
33,34,835368,连城数控
34,35,837006,晟楠科技
35,36,835207,众诚科技
36,37,837821,则成电子
37,38,834682,球冠电缆
38,39,834639,晨光电缆
39,40,872374,云里物里
40,41,837242,建邦科技
41,42,833394,民士达
42,43,832491,奥迪威
43,44,832651,天罡股份
44,45,833171,国航远洋
45,46,831832,科达自控
46,47,832876,慧为智能
47,48,835508,殷图网联
48,49,837212,智新电子
49,50,836270,天铭科技
50,51,833580,科创新材
51,52,836871,派特尔
52,53,873223,荣亿精密
53,54,872931,无锡鼎邦
54,55,836504,博迅生物
55,56,836077,吉林碳谷
56,57,839680,广道数字
57,58,835185,贝特瑞
58,59,831834,三维股份
59,60,833454,同心传动
60,61,871642,通易航天
61,62,873152,天宏锂电
62,63,830839,万通液压
63,64,832149,利尔达
64,65,836149,旭杰科技
65,66,836961,西磁科技
66,67,832662,方盛股份
67,68,832982,锦波生物
68,69,831370,新安洁
69,70,870508,丰安股份
70,71,833523,德瑞锂电
71,72,836247,华密新材
72,73,871857,泓禧科技
73,74,870976,视声智能
74,75,832802,保丽洁
75,76,833030,立方控股
76,77,832786,骑士乳业
77,78,831627,力王股份
78,79,836957,汉维科技
79,80,871396,常辅股份
80,81,835184,国源科技
81,82,872392,佳合科技
82,83,835857,百甲科技
83,84,839371,欧福蛋业
84,85,838810,春光药装
85,86,838837,华原股份
86,87,837403,康农种业
87,88,872190,雷神科技
88,89,832225,利通科技
89,90,839273,一致魔芋
90,91,430510,丰光精密
91,92,838402,硅烷科技
92,93,430685,新芝生物
93,94,873132,泰鹏智能
94,95,833751,惠同新材
95,96,430564,天润科技
96,97,832175,东方碳素
97,98,430556,雅达股份
98,99,833509,同惠电子
99,100,838163,方大新材
100,101,833873,中设咨询
101,102,836675,秉扬科技
102,103,831305,海希通讯
103,104,831726,朱老六
104,105,832471,XD美邦科
105,106,834021,流金科技
106,107,836720,吉冈精密
107,108,833455,汇隆活塞
108,109,871263,莱赛激光
109,110,835892,中科美菱
