,序号,代码,名称
0,1,688693,锴威特
1,2,688597,煜邦电力
2,3,688517,金冠电气
3,4,600067,冠城大通
4,5,603389,亚振家居
5,6,600830,香溢融通
6,7,603863,松炀资源
7,8,600192,长城电工
8,9,600992,贵绳股份
9,10,600345,长江通信
10,11,603083,剑桥科技
11,12,603685,晨丰科技
12,13,600179,安通控股
13,14,600355,精伦电子
14,15,600837,海通证券
15,16,600022,山东钢铁
16,17,603322,超讯通信
17,18,688183,生益电子
18,19,600405,动力源
19,20,600647,退市同达
20,21,600725,云维股份
21,22,688799,华纳药厂
22,23,688429,时创能源
23,24,688720,艾森股份
24,25,603717,天域生态
25,26,600996,贵广网络
26,27,688633,星球石墨
27,28,601615,明阳智能
28,29,601801,皖新传媒
29,30,600183,生益科技
30,31,603737,三棵树
31,32,688090,瑞松科技
32,33,603377,ST东时
33,34,688020,方邦股份
34,35,600898,*ST美讯
35,36,603220,中贝通信
36,37,600804,*ST鹏博
37,38,600234,*ST科新
38,39,601138,工业富联
39,40,600307,酒钢宏兴
40,41,600530,ST交昂
41,42,688005,容百科技
42,43,603023,*ST威帝
43,44,603191,望变电气
44,45,603633,徕木股份
45,46,603117,ST万林
46,47,600213,*ST亚星
47,48,600608,ST沪科
48,49,600666,ST瑞德
49,50,600462,*ST九有
50,51,601211,国泰君安
51,52,603486,科沃斯
52,53,600165,*ST宁科
53,54,601005,重庆钢铁
54,55,600565,ST迪马
55,56,603228,景旺电子
56,57,601233,桐昆股份
57,58,601136,首创证券
58,59,600070,*ST富润
59,60,601155,新城控股
60,61,601933,永辉超市
61,62,600444,国机通用
62,63,600463,空港股份
63,64,600638,新黄浦
64,65,605177,东亚药业
65,66,603061,金海通
66,67,688205,德科立
67,68,600550,保变电气
68,69,600743,华远地产
69,70,600654,ST中安
70,71,600716,凤凰股份
71,72,600312,平高电气
72,73,688343,云天励飞-U
73,74,603393,新天然气
74,75,688668,鼎通科技
75,76,600919,XD江苏银
76,77,603363,*ST傲农
77,78,600053,九鼎投资
78,79,603186,华正新材
79,80,600575,淮河能源
80,81,603052,可川科技
81,82,600418,江淮汽车
82,83,688498,源杰科技
83,84,603099,长白山
84,85,601028,玉龙股份
85,86,603516,淳中科技
86,87,600119,长江投资
87,88,600791,京能置业
88,89,688318,DR财富趋
89,90,603787,新日股份
90,91,688607,康众医疗
91,92,605188,国光连锁
92,93,688036,传音控股
93,94,603078,江化微
94,95,603992,松霖科技
95,96,605277,新亚电子
96,97,601878,浙商证券
97,98,600052,东望时代
98,99,603225,新凤鸣
99,100,603168,莎普爱思
100,101,605338,巴比食品
101,102,603019,中科曙光
102,103,600266,城建发展
103,104,603226,菲林格尔
104,105,600246,万通发展
105,106,600105,永鼎股份
106,107,600692,亚通股份
107,108,603133,退市碳元
108,109,600212,绿能慧充
109,110,603813,原尚股份
110,111,601456,国联证券
111,112,688676,XD金盘科
112,113,603920,世运电路
113,114,601099,太平洋
114,115,600303,ST曙光
115,116,603356,华菱精工
116,117,600363,联创光电
117,118,688472,阿特斯
118,119,603333,尚纬股份
119,120,600707,彩虹股份
120,121,600268,国电南自
121,122,600036,招商银行
122,123,603383,顶点软件
123,124,601881,中国银河
124,125,603663,三祥新材
125,126,600318,新力金融
126,127,603171,税友股份
127,128,600231,凌钢股份
128,129,600683,京投发展
129,130,600796,钱江生化
130,131,603386,骏亚科技
131,132,601218,吉鑫科技
132,133,603577,汇金通
133,134,688084,晶品特装
134,135,600726,华电能源
135,136,603208,江山欧派
136,137,603559,*ST通脉
137,138,688450,光格科技
138,139,688095,福昕软件
139,140,601628,中国人寿
140,141,600983,惠而浦
141,142,600809,山西汾酒
142,143,600109,国金证券
143,144,600868,梅雁吉祥
144,145,688609,九联科技
145,146,600657,信达地产
146,147,601688,华泰证券
147,148,603328,依顿电子
