,序号,代码,名称
0,1,301208,中亦科技
1,2,688693,锴威特
2,3,301251,威尔高
3,4,300933,中辰股份
4,5,301183,东田微
5,6,300713,英可瑞
6,7,301221,光庭信息
7,8,301082,久盛电气
8,9,688597,煜邦电力
9,10,300502,新易盛
10,11,300308,中际旭创
11,12,300175,朗源股份
12,13,301395,仁信新材
13,14,000996,中期退
14,15,301176,逸豪新材
15,16,301392,汇成真空
16,17,300013,*ST新宁
17,18,688517,金冠电气
18,19,001896,豫能控股
19,20,600067,冠城大通
20,21,603389,亚振家居
21,22,600830,香溢融通
22,23,002227,奥 特 迅
23,24,603863,松炀资源
24,25,600192,长城电工
25,26,002937,兴瑞科技
26,27,002767,先锋电子
27,28,600992,贵绳股份
28,29,600345,长江通信
29,30,002857,三晖电气
30,31,603083,剑桥科技
31,32,603685,晨丰科技
32,33,002199,东晶电子
33,34,002350,北京科锐
34,35,600179,安通控股
35,36,600355,精伦电子
36,37,837592,华信永道
37,38,000793,华闻集团
38,39,300557,理工光科
39,40,300552,万集科技
40,41,300394,天孚通信
41,42,300169,天晟新材
42,43,600837,海通证券
43,44,600022,山东钢铁
44,45,002856,美芝股份
45,46,603322,超讯通信
46,47,688183,生益电子
47,48,600405,动力源
48,49,301086,鸿富瀚
49,50,002588,史丹利
50,51,300141,和顺电气
51,52,600647,退市同达
52,53,002463,沪电股份
53,54,600725,云维股份
54,55,688799,华纳药厂
55,56,301313,凡拓数创
56,57,688429,时创能源
57,58,002815,崇达技术
58,59,688720,艾森股份
59,60,301205,联特科技
60,61,300510,金冠股份
61,62,300457,赢合科技
62,63,300062,中能电气
63,64,002922,伊戈尔
64,65,603717,天域生态
65,66,301132,满坤科技
66,67,300476,胜宏科技
67,68,000736,中交地产
68,69,301315,威士顿
69,70,600996,贵广网络
70,71,688633,星球石墨
71,72,002862,实丰文化
72,73,002938,鹏鼎控股
73,74,301156,美农生物
74,75,300722,新余国科
75,76,300337,银邦股份
76,77,300947,德必集团
77,78,300137,先河环保
78,79,301548,崇德科技
79,80,301390,经纬股份
80,81,001267,汇绿生态
81,82,601615,明阳智能
82,83,000936,华西股份
83,84,300880,迦南智能
84,85,300098,高新兴
85,86,601801,皖新传媒
86,87,001389,广合科技
87,88,300563,神宇股份
88,89,300757,罗博特科
89,90,836239,长虹能源
90,91,870299,灿能电力
91,92,600183,生益科技
92,93,002281,光迅科技
93,94,002902,铭普光磁
94,95,301486,致尚科技
95,96,002364,中恒电气
96,97,300939,秋田微
97,98,300517,海波重科
98,99,603737,三棵树
99,100,001309,德明利
100,101,002655,共达电声
101,102,000584,*ST工智
102,103,300500,启迪设计
103,104,688090,瑞松科技
104,105,603377,ST东时
105,106,000514,渝 开 发
106,107,002530,金财互联
107,108,688020,方邦股份
108,109,830799,艾融软件
109,110,300739,明阳电路
110,111,002742,ST三圣
111,112,600898,*ST美讯
112,113,603220,中贝通信
113,114,000023,*ST深天
114,115,600804,*ST鹏博
115,116,837046,亿能电力
116,117,600234,*ST科新
117,118,601138,工业富联
118,119,600307,酒钢宏兴
119,120,002341,ST新纶
120,121,600530,ST交昂
121,122,002650,ST加加
122,123,000622,*ST恒立
123,124,688005,容百科技
124,125,603023,*ST威帝
125,126,603191,望变电气
126,127,000908,*ST景峰
127,128,002913,奥士康
128,129,300670,大烨智能
129,130,837092,汉鑫科技
130,131,000609,*ST中迪
131,132,603633,徕木股份
132,133,603117,ST万林
133,134,002310,*ST东园
134,135,600213,*ST亚星
135,136,300401,花园生物
136,137,600608,ST沪科
137,138,600666,ST瑞德
138,139,301366,一博科技
139,140,831396,许昌智能
140,141,600462,*ST九有
141,142,601211,国泰君安
142,143,603486,科沃斯
143,144,301270,汉仪股份
144,145,002075,沙钢股份
145,146,300675,建科院
146,147,600165,*ST宁科
147,148,300468,四方精创
148,149,601005,重庆钢铁
149,150,300857,协创数据
150,151,002246,北化股份
151,152,600565,ST迪马
152,153,002502,ST鼎龙
153,154,300180,华峰超纤
154,155,603228,景旺电子
155,156,601233,桐昆股份
156,157,601136,首创证券
157,158,600070,*ST富润
158,159,002052,*ST同洲
159,160,000839,中信国安
160,161,601155,新城控股
161,162,601933,永辉超市
162,163,002202,金风科技
163,164,834058,华洋赛车
164,165,600444,国机通用
165,166,600463,空港股份
166,167,600638,新黄浦
167,168,872808,曙光数创
168,169,003019,宸展光电
169,170,002850,科达利
170,171,605177,东亚药业
171,172,603061,金海通
172,173,300570,太辰光
173,174,688205,德科立
174,175,002306,中科云网
175,176,002395,双象股份
176,177,600550,保变电气
177,178,000965,天保基建
178,179,002102,能特科技
179,180,300499,高澜股份
180,181,600743,华远地产
181,182,002916,深南电路
182,183,002384,东山精密
183,184,600654,ST中安
184,185,002321,华英农业
185,186,300627,华测导航
186,187,600716,凤凰股份
187,188,600312,平高电气
188,189,301041,金百泽
189,190,300620,光库科技
190,191,301252,同星科技
191,192,688343,云天励飞-U
192,193,603393,新天然气
193,194,300736,百邦科技
194,195,688668,鼎通科技
195,196,600919,XD江苏银
196,197,871245,威博液压
197,198,603363,*ST傲农
198,199,002865,钧达股份
199,200,600053,九鼎投资
200,201,603186,华正新材
201,202,600575,淮河能源
202,203,603052,可川科技
203,204,002828,贝肯能源
204,205,300917,特发服务
205,206,000796,*ST凯撒
206,207,600418,江淮汽车
207,208,688498,源杰科技
208,209,603099,长白山
209,210,601028,玉龙股份
210,211,603516,淳中科技
211,212,300514,友讯达
212,213,002705,新宝股份
213,214,300737,科顺股份
214,215,600119,长江投资
215,216,600791,京能置业
216,217,300988,津荣天宇
217,218,872895,花溪科技
218,219,688318,DR财富趋
219,220,300407,凯发电气
220,221,301106,骏成科技
221,222,300460,惠伦晶体
222,223,603787,新日股份
223,224,001226,拓山重工
224,225,688607,康众医疗
225,226,002501,利源股份
226,227,605188,国光连锁
227,228,688036,传音控股
228,229,301004,嘉益股份
229,230,603078,江化微
230,231,430198,微创光电
231,232,002339,积成电子
232,233,603992,松霖科技
233,234,300380,安硕信息
234,235,605277,新亚电子
235,236,301577,美信科技
236,237,301061,匠心家居
237,238,300548,博创科技
238,239,601878,浙商证券
239,240,000882,华联股份
240,241,300688,创业黑马
241,242,000042,中洲控股
242,243,000988,华工科技
243,244,300153,科泰电源
244,245,002884,凌霄泵业
245,246,300787,海能实业
246,247,001368,通达创智
247,248,600052,东望时代
248,249,603225,新凤鸣
249,250,000617,中油资本
250,251,002977,天箭科技
251,252,300475,香农芯创
252,253,301073,君亭酒店
253,254,603168,莎普爱思
254,255,300641,正丹股份
255,256,300019,硅宝科技
256,257,002847,盐津铺子
257,258,605338,巴比食品
258,259,603019,中科曙光
259,260,301282,金禄电子
260,261,600266,城建发展
261,262,300913,兆龙互连
262,263,603226,菲林格尔
263,264,600246,万通发展
264,265,300807,天迈科技
265,266,600105,永鼎股份
266,267,600692,亚通股份
267,268,300872,天阳科技
268,269,300643,万通智控
269,270,002647,仁东控股
270,271,002234,民和股份
271,272,002475,立讯精密
272,273,301359,东南电子
273,274,603133,退市碳元
274,275,600212,绿能慧充
275,276,000533,顺钠股份
276,277,603813,原尚股份
277,278,002766,索菱股份
278,279,601456,国联证券
279,280,688676,XD金盘科
280,281,300783,三只松鼠
281,282,000428,华天酒店
282,283,002606,大连电瓷
283,284,301085,亚康股份
284,285,002897,意华股份
285,286,603920,世运电路
286,287,300207,欣旺达
287,288,837174,宏裕包材
288,289,601099,太平洋
289,290,600303,ST曙光
290,291,603356,华菱精工
291,292,000532,华金资本
292,293,300494,盛天网络
293,294,002542,中化岩土
294,295,002322,理工能科
295,296,300862,蓝盾光电
296,297,839493,并行科技
297,298,002869,金溢科技
298,299,300936,中英科技
299,300,002309,*ST中利
300,301,600363,联创光电
301,302,430047,诺思兰德
302,303,688472,阿特斯
303,304,300429,强力新材
304,305,603333,尚纬股份
305,306,301299,卓创资讯
306,307,600707,彩虹股份
307,308,872925,锦好医疗
308,309,600268,国电南自
309,310,300351,永贵电器
310,311,002599,盛通股份
311,312,301511,德福科技
312,313,600036,招商银行
313,314,603383,顶点软件
314,315,300843,胜蓝股份
315,316,002715,登云股份
316,317,001979,招商蛇口
317,318,601881,中国银河
318,319,000002,万  科Ａ
319,320,603663,三祥新材
320,321,600318,新力金融
321,322,300680,隆盛科技
322,323,603171,税友股份
323,324,600231,凌钢股份
324,325,002889,东方嘉盛
325,326,600683,京投发展
326,327,000886,海南高速
327,328,300368,ST汇金
328,329,000702,正虹科技
329,330,600796,钱江生化
330,331,300803,指南针
331,332,002192,融捷股份
332,333,300046,台基股份
333,334,301439,泓淋电力
334,335,300617,安靠智电
335,336,603386,骏亚科技
336,337,836699,海达尔
337,338,301357,北方长龙
338,339,830964,润农节水
339,340,601218,吉鑫科技
340,341,603577,汇金通
341,342,688084,晶品特装
342,343,600726,华电能源
343,344,603208,江山欧派
344,345,000338,潍柴动力
345,346,603559,*ST通脉
346,347,688450,光格科技
347,348,688095,福昕软件
348,349,601628,中国人寿
349,350,002378,章源钨业
350,351,600983,惠而浦
351,352,600809,山西汾酒
352,353,301526,国际复材
353,354,600109,国金证券
354,355,002261,拓维信息
355,356,000011,深物业A
356,357,000657,中钨高新
357,358,600868,梅雁吉祥
358,359,688609,九联科技
359,360,300717,华信新材
360,361,600657,信达地产
361,362,002423,中粮资本
362,363,300932,三友联众
