,序号,代码,名称
0,1,301208,中亦科技
1,2,301251,威尔高
2,3,300933,中辰股份
3,4,301183,东田微
4,5,300713,英可瑞
5,6,301221,光庭信息
6,7,301082,久盛电气
7,8,300502,新易盛
8,9,300308,中际旭创
9,10,300175,朗源股份
10,11,301395,仁信新材
11,12,000996,中期退
12,13,301176,逸豪新材
13,14,301392,汇成真空
14,15,300013,*ST新宁
15,16,001896,豫能控股
16,17,002227,奥 特 迅
17,18,002937,兴瑞科技
18,19,002767,先锋电子
19,20,002857,三晖电气
20,21,002199,东晶电子
21,22,002350,北京科锐
22,23,000793,华闻集团
23,24,300557,理工光科
24,25,300552,万集科技
25,26,300394,天孚通信
26,27,300169,天晟新材
27,28,002856,美芝股份
28,29,301086,鸿富瀚
29,30,002588,史丹利
30,31,300141,和顺电气
31,32,002463,沪电股份
32,33,301313,凡拓数创
33,34,002815,崇达技术
34,35,301205,联特科技
35,36,300510,金冠股份
36,37,300457,赢合科技
37,38,300062,中能电气
38,39,002922,伊戈尔
39,40,301132,满坤科技
40,41,300476,胜宏科技
41,42,000736,中交地产
42,43,301315,威士顿
43,44,002862,实丰文化
44,45,002938,鹏鼎控股
45,46,301156,美农生物
46,47,300722,新余国科
47,48,300337,银邦股份
48,49,300947,德必集团
49,50,300137,先河环保
50,51,301548,崇德科技
51,52,301390,经纬股份
52,53,001267,汇绿生态
53,54,000936,华西股份
54,55,300880,迦南智能
55,56,300098,高新兴
56,57,001389,广合科技
57,58,300563,神宇股份
58,59,300757,罗博特科
59,60,002281,光迅科技
60,61,002902,铭普光磁
61,62,301486,致尚科技
62,63,002364,中恒电气
63,64,300939,秋田微
64,65,300517,海波重科
65,66,001309,德明利
66,67,002655,共达电声
67,68,000584,*ST工智
68,69,300500,启迪设计
69,70,000514,渝 开 发
70,71,002530,金财互联
71,72,300739,明阳电路
72,73,002742,ST三圣
73,74,000023,*ST深天
74,75,002341,ST新纶
75,76,002650,ST加加
76,77,000622,*ST恒立
77,78,000908,*ST景峰
78,79,002913,奥士康
79,80,300670,大烨智能
80,81,000609,*ST中迪
81,82,002310,*ST东园
82,83,300401,花园生物
83,84,301366,一博科技
84,85,301270,汉仪股份
85,86,002075,沙钢股份
86,87,300675,建科院
87,88,300468,四方精创
88,89,300857,协创数据
89,90,002246,北化股份
90,91,002502,ST鼎龙
91,92,300180,华峰超纤
92,93,002052,*ST同洲
93,94,000839,中信国安
94,95,002202,金风科技
95,96,003019,宸展光电
96,97,002850,科达利
97,98,300570,太辰光
98,99,002306,中科云网
99,100,002395,双象股份
100,101,000965,天保基建
101,102,002102,能特科技
102,103,300499,高澜股份
103,104,002916,深南电路
104,105,002384,东山精密
105,106,002321,华英农业
106,107,300627,华测导航
107,108,301041,金百泽
108,109,300620,光库科技
109,110,301252,同星科技
110,111,300736,百邦科技
111,112,002865,钧达股份
112,113,002828,贝肯能源
113,114,300917,特发服务
114,115,000796,*ST凯撒
115,116,300514,友讯达
116,117,002705,新宝股份
117,118,300737,科顺股份
118,119,300988,津荣天宇
119,120,300407,凯发电气
120,121,301106,骏成科技
121,122,300460,惠伦晶体
122,123,001226,拓山重工
123,124,002501,利源股份
124,125,301004,嘉益股份
125,126,002339,积成电子
126,127,300380,安硕信息
127,128,301577,美信科技
128,129,301061,匠心家居
129,130,300548,博创科技
130,131,000882,华联股份
131,132,300688,创业黑马
132,133,000042,中洲控股
133,134,000988,华工科技
134,135,300153,科泰电源
135,136,002884,凌霄泵业
136,137,300787,海能实业
137,138,001368,通达创智
138,139,000617,中油资本
139,140,002977,天箭科技
140,141,300475,香农芯创
141,142,301073,君亭酒店
142,143,300641,正丹股份
143,144,300019,硅宝科技
144,145,002847,盐津铺子
145,146,301282,金禄电子
146,147,300913,兆龙互连
147,148,300807,天迈科技
148,149,300872,天阳科技
149,150,300643,万通智控
150,151,002647,仁东控股
151,152,002234,民和股份
152,153,002475,立讯精密
153,154,301359,东南电子
154,155,000533,顺钠股份
155,156,002766,索菱股份
156,157,300783,三只松鼠
157,158,000428,华天酒店
158,159,002606,大连电瓷
159,160,301085,亚康股份
160,161,002897,意华股份
161,162,300207,欣旺达
162,163,000532,华金资本
163,164,300494,盛天网络
164,165,002542,中化岩土
165,166,002322,理工能科
166,167,300862,蓝盾光电
167,168,002869,金溢科技
168,169,300936,中英科技
169,170,002309,*ST中利
170,171,300429,强力新材
171,172,301299,卓创资讯
172,173,300351,永贵电器
173,174,002599,盛通股份
174,175,301511,德福科技
175,176,300843,胜蓝股份
176,177,002715,登云股份
177,178,001979,招商蛇口
178,179,000002,万  科Ａ
179,180,300680,隆盛科技
180,181,002889,东方嘉盛
181,182,000886,海南高速
182,183,300368,ST汇金
183,184,000702,正虹科技
184,185,300803,指南针
185,186,002192,融捷股份
186,187,300046,台基股份
187,188,301439,泓淋电力
188,189,300617,安靠智电
189,190,301357,北方长龙
190,191,000338,潍柴动力
191,192,002378,章源钨业
192,193,301526,国际复材
193,194,002261,拓维信息
194,195,000011,深物业A
195,196,000657,中钨高新
196,197,300717,华信新材
197,198,002423,中粮资本
198,199,300932,三友联众
199,200,000897,津滨发展
200,201,002451,摩恩电气
201,202,002805,丰元股份
202,203,000586,汇源通信
203,204,300423,昇辉科技
204,205,000786,北新建材
205,206,002882,金龙羽
206,207,000333,美的集团
207,208,300735,光弘科技
208,209,300117,*ST嘉寓
209,210,002991,甘源食品
210,211,301202,朗威股份
211,212,002037,保利联合
212,213,300628,亿联网络
213,214,002668,TCL智家
214,215,002053,云南能投
215,216,300033,同花顺
216,217,002652,扬子新材
217,218,000559,万向钱潮
218,219,300982,苏文电能
219,220,002355,兴民智通
220,221,300901,中胤时尚
221,222,301062,上海艾录
222,223,002142,宁波银行
223,224,300588,熙菱信息
224,225,300858,科拓生物
225,226,002541,鸿路钢构
226,227,002436,兴森科技
227,228,002929,润建股份
228,229,300304,云意电气
229,230,002138,顺络电子
230,231,000797,中国武夷
231,232,301165,锐捷网络
232,233,301121,紫建电子
233,234,002791,坚朗五金
234,235,002305,南国置业
235,236,301120,新特电气
236,237,002032,苏 泊 尔
237,238,000766,通化金马
238,239,000581,威孚高科
239,240,002526,山东矿机
240,241,301301,川宁生物
241,242,001208,华菱线缆
242,243,002091,江苏国泰
243,244,300338,*ST开元
244,245,300155,安居宝
245,246,001318,阳光乳业
246,247,301331,恩威医药
247,248,002195,岩山科技
248,249,301191,菲菱科思
249,250,300069,金利华电
250,251,300479,神思电子
251,252,002987,京北方
252,253,000656,*ST金科
253,254,301388,欣灵电气
254,255,300106,西部牧业
255,256,300808,久量股份
256,257,300746,汉嘉设计
257,258,300359,全通教育
258,259,300537,广信材料
259,260,001366,播恩集团
260,261,002134,天津普林
261,262,002939,长城证券
262,263,300894,火星人
263,264,002859,洁美科技
264,265,002232,启明信息
265,266,002130,沃尔核材
266,267,300451,创业慧康
267,268,300018,中元股份
268,269,300848,美瑞新材
269,270,300921,南凌科技
270,271,002141,*ST贤丰
271,272,000926,福星股份
272,273,300648,星云股份
273,274,002792,通宇通讯
274,275,002927,泰永长征
275,276,301038,深水规院
276,277,002208,合肥城建
277,278,300915,海融科技
278,279,301505,苏州规划
279,280,000610,西安旅游
280,281,301266,宇邦新材
281,282,000823,超声电子
282,283,300738,奥飞数据
283,284,002771,真视通
284,285,001331,胜通能源
285,286,000555,神州信息
286,287,000415,渤海租赁
287,288,002293,罗莱生活
288,289,002331,皖通科技
289,290,000970,中科三环
290,291,301488,豪恩汽电
291,292,002249,大洋电机
292,293,000703,恒逸石化
293,294,002154,报 喜 鸟
294,295,000923,河钢资源
295,296,000889,ST中嘉
296,297,002845,同兴达
297,298,300613,富瀚微
298,299,300616,尚品宅配
299,300,002358,森源电气
300,301,000560,我爱我家
301,302,300568,星源材质
302,303,300657,弘信电子
303,304,301213,观想科技
304,305,301295,美硕科技
305,306,300881,盛德鑫泰
306,307,002796,世嘉科技
307,308,300383,光环新网
308,309,300693,盛弘股份
309,310,000709,河钢股份
310,311,300465,高伟达
311,312,000929,兰州黄河
312,313,000838,财信发展
313,314,002970,锐明技术
314,315,300698,万马科技
315,316,002236,大华股份
316,317,300678,中科信息
317,318,301127,天源环保
318,319,002124,ST天邦
319,320,003001,中岩大地
320,321,300964,本川智能
321,322,301339,通行宝
322,323,300201,海伦哲
323,324,000552,甘肃能化
324,325,000036,华联控股
325,326,300061,旗天科技
326,327,300977,深圳瑞捷
327,328,000719,中原传媒
328,329,301123,奕东电子
329,330,301217,铜冠铜箔
330,331,000977,浪潮信息
331,332,002090,金智科技
332,333,002231,奥维通信
333,334,300491,通合科技
334,335,301141,中科磁业
335,336,002373,千方科技
336,337,002732,燕塘乳业
337,338,301285,鸿日达
338,339,300164,通源石油
339,340,300624,万兴科技
340,341,000727,冠捷科技
341,342,300498,温氏股份
342,343,002943,宇晶股份
343,344,002181,粤 传 媒
344,345,300590,移为通信
345,346,000521,长虹美菱
346,347,301139,元道通信
347,348,300051,琏升科技
348,349,300239,东宝生物
349,350,002368,太极股份
350,351,300244,迪安诊断
351,352,300124,汇川技术
352,353,002706,良信股份
353,354,002738,中矿资源
354,355,300145,中金环境
355,356,002837,英维克
356,357,301377,鼎泰高科
357,358,300507,苏奥传感
358,359,002376,新北洋
359,360,002587,奥拓电子
360,361,002439,启明星辰
361,362,000898,鞍钢股份
362,363,002402,和而泰
363,364,002508,老板电器
364,365,002941,新疆交建
365,366,301058,中粮科工
366,367,002632,道明光学
367,368,002546,新联电子
368,369,301289,国缆检测
369,370,002161,远 望 谷
370,371,002139,拓邦股份
371,372,002276,万马股份
372,373,300884,狄耐克
373,374,300129,泰胜风能
374,375,001326,联域股份
375,376,301419,阿莱德
376,377,300941,创识科技
377,378,300541,先进数通
378,379,002063,远光软件
379,380,002025,航天电器
380,381,002285,世联行
381,382,300433,蓝思科技
382,383,300105,龙源技术
383,384,002298,中电兴发
384,385,300773,拉卡拉
385,386,002252,上海莱士
386,387,300682,朗新集团
387,388,301079,邵阳液压
388,389,002452,长高电新
