,序号,代码,名称
0,,bj430017,星昊医药
1,,bj430047,诺思兰德
2,,bj430090,同辉信息
3,,bj430139,华岭股份
4,,bj430198,微创光电
5,,bj430300,辰光医疗
6,,bj430418,苏轴股份
7,,bj430425,乐创技术
8,,bj430476,海能技术
9,,bj430478,峆一药业
10,,bj430489,佳先股份
11,,bj430510,丰光精密
12,,bj430556,雅达股份
13,,bj430564,天润科技
14,,bj430685,新芝生物
15,,bj430718,合肥高科
16,,bj830779,武汉蓝电
17,,bj830799,艾融软件
18,,bj830809,安达科技
19,,bj830832,齐鲁华信
20,,bj830839,万通液压
21,,bj830879,基康仪器
22,,bj830896,旺成科技
23,,bj830946,森萱医药
24,,bj830964,润农节水
25,,bj830974,凯大催化
26,,bj831010,凯添燃气
27,,bj831039,国义招标
28,,bj831087,秋乐种业
29,,bj831152,昆工科技
30,,bj831167,鑫汇科
31,,bj831175,派诺科技
32,,bj831195,三祥科技
33,,bj831278,泰德股份
34,,bj831304,迪尔化工
35,,bj831305,海希通讯
36,,bj831370,新安洁
37,,bj831396,许昌智能
38,,bj831445,龙竹科技
39,,bj831526,凯华材料
40,,bj831627,力王股份
41,,bj831641,格利尔
42,,bj831689,克莱特
43,,bj831726,朱老六
44,,bj831768,拾比佰
45,,bj831832,科达自控
46,,bj831834,三维股份
47,,bj831855,浙江大农
48,,bj831856,浩淼科技
49,,bj831906,舜宇精工
50,,bj831961,创远信科
51,,bj832000,安徽凤凰
52,,bj832023,田野股份
53,,bj832089,禾昌聚合
54,,bj832110,雷特科技
55,,bj832145,恒合股份
56,,bj832149,利尔达
57,,bj832171,志晟信息
58,,bj832175,东方碳素
59,,bj832225,利通科技
60,,bj832278,XD鹿得医
61,,bj832419,路斯股份
62,,bj832469,富恒新材
63,,bj832471,XD美邦科
64,,bj832491,奥迪威
65,,bj832522,纳科诺尔
66,,bj832566,梓橦宫
67,,bj832651,天罡股份
68,,bj832662,方盛股份
69,,bj832735,德源药业
70,,bj832786,骑士乳业
71,,bj832802,保丽洁
72,,bj832876,慧为智能
73,,bj832885,星辰科技
74,,bj832978,开特股份
75,,bj832982,锦波生物
76,,bj833030,立方控股
77,,bj833075,柏星龙
78,,bj833171,国航远洋
79,,bj833230,欧康医药
80,,bj833266,生物谷
81,,bj833284,灵鸽科技
82,,bj833346,威贸电子
83,,bj833394,民士达
84,,bj833427,华维设计
85,,bj833429,XD康比特
86,,bj833454,同心传动
87,,bj833455,汇隆活塞
88,,bj833509,同惠电子
89,,bj833523,德瑞锂电
90,,bj833533,骏创科技
91,,bj833575,康乐卫士
92,,bj833580,科创新材
93,,bj833751,惠同新材
94,,bj833781,瑞奇智造
95,,bj833819,颖泰生物
96,,bj833873,中设咨询
97,,bj833914,远航精密
98,,bj833943,优机股份
99,,bj834014,特瑞斯
100,,bj834021,流金科技
101,,bj834033,康普化学
102,,bj834058,华洋赛车
103,,bj834062,科润智控
104,,bj834261,一诺威
105,,bj834407,XD驰诚股
106,,bj834415,恒拓开源
107,,bj834475,三友科技
108,,bj834599,同力股份
109,,bj834639,晨光电缆
110,,bj834682,球冠电缆
111,,bj834765,美之高
112,,bj834770,艾能聚
113,,bj834950,迅安科技
114,,bj835174,五新隧装
115,,bj835179,凯德石英
116,,bj835184,国源科技
117,,bj835185,贝特瑞
118,,bj835207,众诚科技
119,,bj835237,力佳科技
120,,bj835305,云创数据
121,,bj835368,连城数控
122,,bj835438,戈碧迦
123,,bj835508,殷图网联
124,,bj835579,机科股份
125,,bj835640,富士达
126,,bj835670,数字人
127,,bj835857,百甲科技
128,,bj835892,中科美菱
129,,bj835985,海泰新能
130,,bj836077,吉林碳谷
131,,bj836149,旭杰科技
132,,bj836208,青矩技术
133,,bj836221,易实精密
134,,bj836239,长虹能源
135,,bj836247,华密新材
136,,bj836260,中寰股份
137,,bj836263,XD中航泰
138,,bj836270,天铭科技
139,,bj836395,朗鸿科技
140,,bj836414,欧普泰
141,,bj836419,万德股份
142,,bj836422,润普食品
143,,bj836433,大唐药业
144,,bj836504,博迅生物
145,,bj836547,无锡晶海
146,,bj836675,秉扬科技
147,,bj836699,海达尔
148,,bj836717,瑞星股份
149,,bj836720,吉冈精密
150,,bj836807,奔朗新材
151,,bj836826,盖世食品
152,,bj836871,派特尔
153,,bj836892,广咨国际
154,,bj836942,恒立钻具
155,,bj836957,汉维科技
156,,bj836961,西磁科技
157,,bj837006,晟楠科技
158,,bj837023,芭薇股份
159,,bj837046,亿能电力
160,,bj837092,汉鑫科技
161,,bj837174,宏裕包材
162,,bj837212,智新电子
163,,bj837242,建邦科技
164,,bj837344,三元基因
165,,bj837403,康农种业
166,,bj837592,华信永道
167,,bj837663,明阳科技
168,,bj837748,路桥信息
169,,bj837821,则成电子
