,name,cname,symbol,category
0,Microsoft Corp.,微软公司,MSFT,软件
1,"Apple, Inc.",苹果公司,AAPL,计算机
2,NVIDIA Corp.,英伟达公司,NVDA,半导体
3,"Alphabet, Inc.",谷歌,GOOG,互联网
4,"Alphabet, Inc.",谷歌A类股,GOOGL,媒体内容
5,"Amazon.com, Inc.",亚马逊公司,AMZN,互联网
6,"Meta Platforms, Inc.","Meta Platforms, Inc.",META,
7,"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,TSM,半导体
8,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦,BRK.A,保险
9,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,BRK.B,保险
10,Eli Lilly & Co.,礼来公司,LLY,生物技术和制药
11,Broadcom Inc.,博通,AVGO,半导体
12,Novo Nordisk A/S,诺和诺德公司,NVO,制药
13,"Tesla, Inc.",特斯拉,TSLA,汽车制造
14,JPMorgan Chase & Co.,摩根大通公司,JPM,
15,"Visa, Inc.",维萨卡公司,V,
16,"Walmart, Inc.",沃尔玛公司,WMT,零售
17,Exxon Mobil Corp.,埃克森美孚公司,XOM,
18,"UnitedHealth Group, Inc.",美国联合健康集团,UNH,卫生保健设施
19,"Mastercard, Inc.",万事达卡公司,MA,商业服务
20,Vanguard Total International Stock ETF,领航 国际股票 ETF,VXUS,股权
21,ASML Holding NV,阿斯麦公司,ASML,半导体
22,Procter & Gamble Co.,宝洁公司,PG,
23,Oracle Corp.,甲骨文公司,ORCL,软件
24,Costco Wholesale Corp.,开市客公司,COST,
25,Johnson & Johnson,强生公司,JNJ,制药
26,"The Home Depot, Inc.",家得宝公司,HD,零售
27,"Merck & Co., Inc.",默沙东集团,MRK,生物技术和制药
28,Bank of America Corp.,美国银行公司,BAC,银行
29,"AbbVie, Inc.",艾伯维公司,ABBV,生物技术和制药
30,"Netflix, Inc.",奈飞公司,NFLX,
31,Chevron Corp.,雪佛龙公司,CVX,油气
32,The Coca-Cola Co.,可口可乐公司,KO,饮料
33,Toyota Motor Corp.,丰田汽车公司,TM,汽车制造
34,"Advanced Micro Devices, Inc.",美国超微公司,AMD,半导体
35,AstraZeneca PLC,阿斯利康公司,AZN,制药
36,"QUALCOMM, Inc.",高通公司,QCOM,半导体
37,"Adobe, Inc.",Adobe,ADBE,软件
38,"PepsiCo, Inc.",百事可乐公司,PEP,饮料
39,"Salesforce, Inc.",赛富时公司,CRM,软件
40,SAP SE,SAP,SAP,软件
41,"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,TMO,
42,Shell Plc,Shell Plc,SHEL,
43,Novartis AG,诺华公司,NVS,生物技术和制药
44,Linde Plc,Linde Plc,LIN,媒体内容
45,"PDD Holdings, Inc.",拼多多公司,PDD,
46,"T-Mobile US, Inc.","T-Mobile US, Inc.",TMUS,
47,Vanguard Growth Index Fund,成长股指数ETF-Vanguard MSCI,VUG,股权
48,Wells Fargo & Co.,富国银行,WFC,银行
49,"Applied Materials, Inc.",应用材料公司,AMAT,半导体
50,Shell Plc,荷兰皇家壳牌石油公司,RDS.A,
51,Danaher Corp.,丹纳赫公司,DHR,
52,"Cisco Systems, Inc.",思科系统公司,CSCO,电信
53,McDonald's Corp.,麦当劳公司,MCD,零售
54,The Walt Disney Co.,沃特迪士尼公司,DIS,媒体内容
55,Abbott Laboratories,雅培公司,ABT,
56,Accenture Plc,埃森哲公司,ACN,
57,Alibaba Group Holding Ltd.,阿里巴巴,BABA,
58,Texas Instruments Incorporated,德州仪器公司,TXN,半导体
59,GE Aerospace,通用电气公司,GE,多元化制造商
60,"Verizon Communications, Inc.",威讯通信公司,VZ,
61,"Intuit, Inc.",财捷集团,INTU,软件
62,Arm Holdings Plc,Arm Holdings Plc,ARM,
63,American Express Co.,美国运通公司,AXP,多元化金融服务
64,HSBC Holdings Plc,汇丰控股公司,HSBC,银行
65,"Amgen, Inc.",安进公司,AMGN,生物技术
66,"Philip Morris International, Inc.",菲利普莫里斯国际公司,PM,农业
