,序号,代码,名称
0,1,105.KAVL,Kaival Brands Innovations Group
1,2,105.SVMHW,SRIVARU Holding Ltd Wt
2,3,105.CNGLW,Canna-Global Acquisition Corp W
3,4,106.RBOT_WS,Vicarious Surgical Inc Wt
4,5,105.EFTRW,eFFECTOR Therapeutics Inc Wt
5,6,105.LRHC,La Rosa Holdings Corp
6,7,105.ONYXW,Onyx Acquisition Co I Wt
7,8,105.NUVOW,Holdco Nuvo Group DG Ltd Wt
8,9,105.GDEVW,GDEV Inc Wt
9,10,105.AIMDW,Ainos Inc Wt
10,11,105.FREEW,Whole Earth Brands Inc Wt
11,12,105.KWESW,KWESST Micro Systems Inc Wt
12,13,105.SVMH,SRIVARU Holding Ltd
13,14,105.NKGNW,NKGen Biotech Inc Wt
14,15,106.LLAP_WS,Terran Orbita Corp Wt
15,16,105.NOVVR,Nova Vision Acquisition Corp Rt
16,17,105.NMHIW,Nature’s Miracle Holding Inc W
17,18,105.FAASW,DigiAsia Corp Wt
18,19,105.BNIXW,Bannix Acquisition Corp Wt
19,20,105.BRFH,Barfresh Food Group Inc
20,21,105.CURIW,CuriosityStream Inc Wt
21,22,105.CLOER,Clover Leaf Capital Corp Rt
22,23,105.GROMW,Grom Social Enterprises Inc Wt
23,24,105.NNE,Nano Nuclear Energy Inc
24,25,105.AQUNR,Aquaron Acquisition Corp Rt
25,26,107.MWG,Multi Ways Holdings Ltd
26,27,105.CRGOW,Freightos Ltd Wt
27,28,105.NIVFW,NewGenIvf Group Ltd Wt
28,29,105.ISPOW,Inspirato Inc Wt
29,30,105.FUFUW,BitFuFu Inc Wt
30,31,105.TCON,TRACON Pharmaceuticals Inc
31,32,105.CYCN,Cyclerion Therapeutics Inc
32,33,105.BNAIW,Brand Engagement Network Inc Wt
33,34,105.CJET,Chijet Motor Co Inc
34,35,105.FRLAW,Fortune Rise Acquisition Corp W
35,36,105.SIFYR,Sify Technologies Ltd Rt
36,37,105.PDYNW,Palladyne AI Corp Wt
37,38,105.OXBRW,Oxbridge Re Holdings Ltd Wt
38,39,106.MOGU,蘑菇街
39,40,105.ZCARW,Zoomcar Holdings Inc Wt
40,41,105.SCNI,Scinai Immunotherapeutics Ltd A
41,42,105.SNT,Senstar Technologies Corp
42,43,105.AILEW,iLearningEngines Inc Wt
43,44,105.IVDAW,Iveda Solutions Inc Wt
44,45,105.BIMI,必迈医药
45,46,105.ISPC,iSpecimen Inc
46,47,105.ARKOW,ARKO Corp Wt
47,48,105.MACAW,Moringa Acquisition Corp Wt
48,49,107.FOXO,FOXO Technologies Inc-A
49,50,106.BARK_WS,Bark Inc Wt
50,51,105.AREC,American Resources Corp-A
51,52,105.PETWW,Wag! Group Co Wt
52,53,105.ONFO,Onfolio Holdings Inc
53,54,105.KITT,Nauticus Robotics Inc
54,55,105.PIIIW,P3 Health Partners Inc Wt
55,56,105.VFSWW,VinFast Auto Ltd Wt
56,57,106.HYAC_WS,Haymaker Acquisition Corp 4 Wt
57,58,105.LRE,Lead Real Estate Co Ltd ADR
58,59,105.MDIA,MediaCo Holding Inc-A
59,60,105.LGVN,Longeveron Inc-A
60,61,106.LICY,Li-Cycle Holdings Corp
61,62,105.XOSWW,Xos Inc Wt
62,63,105.IRON,Disc Medicine Inc
63,64,106.PL_WS,Planet Labs PBC Wt
64,65,105.ICUCW,SeaStar Medical Holding Corp Wt
65,66,105.TOIIW,The Oncology Institute Inc Wt
66,67,106.NFYS_WS,Enphys Acquisition Corp Wt
67,68,107.SBEV_WS,Splash Beverage Group Inc Wt
68,69,105.LPCN,Lipocine Inc
69,70,105.EPIX,ESSA Pharma Inc
70,71,107.LSF,Laird Superfood Inc
71,72,105.CVIIW,Churchill Capital Corp VII Wt
72,73,105.NITO,N2OFF Inc
73,74,105.IVCPW,Swiftmerge Acquisition Corp Wt
74,75,106.ALUR_WS,Allurion Technologies Inc Wt
75,76,105.SLDPW,Solid Power Inc Wt
76,77,105.ADBE,奥多比
77,78,105.REBN,Reborn Coffee Inc
78,79,105.NLSPW,NLS Pharmaceutics Ltd Wt
79,80,107.SER,Serina Therapeutics Inc
80,81,105.OCUL,Ocular Therapeutix Inc
81,82,105.JFBR,Jeffs’ Brands Ltd
82,83,105.ABLLW,Abacus Life Inc Wt
83,84,105.MOLN,Molecular Partners AG ADR
84,85,105.ASST,Asset Entities Inc-B
85,86,105.AWINW,AERWINS Technologies Inc Wt
86,87,105.TBIO,Telesis Bio Inc
87,88,105.EJH,e家快服
88,89,105.ATNFW,180 Life Sciences Corp Wt
89,90,105.RENB,Renovaro Biosciences Inc
90,91,105.BWAQR,Blue World Acquisition Corp Rt
91,92,105.AENTW,Alliance Entertainment Holding 
92,93,105.RAYA,雷亚电子
93,94,105.BEAT,HeartBeam Inc
94,95,105.MDAIW,Spectral AI Inc Wt
95,96,105.CDROW,Codere Online Luxembourg SA Wt
96,97,105.CHSN,乔治香颂
97,98,106.SRFM,Surf Air Mobility Inc
98,99,105.RNXT,RenovoRx Inc
99,100,105.COOT,Australian Oilseeds Holdings Lt
100,101,105.DOGZ,多尼斯
101,102,105.STI,Solidion Technology Inc-A
102,103,106.GRND_WS,Grindr Inc Wt
103,104,105.DATSW,DatChat Inc Wt-A
104,105,105.BCDAW,BioCardia Inc Wt
105,106,105.BJDX,Bluejay Diagnostics Inc
106,107,105.FTCI,FTC Solar Inc
107,108,105.QMCO,昆腾
108,109,105.AILE,iLearningEngines Inc
109,110,105.WETH,伟易达
110,111,105.TMCWW,TMC the metal company Inc Wt
111,112,105.PTIX,Protagenic Therapeutics Inc
112,113,105.FLFVR,Feutune Light Acquisition Corp 
113,114,105.CETUR,Cetus Capital Acquisition Corp 
114,115,105.XXII,22nd Century Group Inc
115,116,105.WLGS,宏利营造
116,117,105.BRLSW,Borealis Foods Inc Wt
117,118,105.CSSEN,Chicken Soup for the Soul Enter
118,119,105.EZFL,EzFill Holdings Inc
119,120,105.KPRX,Kiora Pharmaceuticals Inc
120,121,106.LITB,兰亭集势
121,122,105.KITTW,Nauticus Robotics Inc Wt
122,123,105.NXTT,Next Technology Holding Inc
123,124,105.KPLTW,Katapult Holdings Inc Wt
124,125,105.SISI,尚高生命科学
125,126,105.MRNOW,Murano Global Investments PLC W
126,127,105.VFS,VinFast Auto Ltd
127,128,105.FAAS,DigiAsia Corp
128,129,105.HUBCZ,HUB Cyber Security Ltd Wt
129,130,105.DHAIW,DIH Holding US Inc Wt
130,131,105.CRMLW,Critical Metals Corp Wt
131,132,105.BFIIW,BurgerFi International Inc Wt
132,133,105.IBACR,IB Acquisition Corp Rt
133,134,105.LNZAW,LanzaTech Global Inc Wt
134,135,105.SONM,Sonim Technologies Inc
135,136,105.TWOU,2U Inc
136,137,105.PFTAW,Perception Capital Corp III Wt
137,138,106.AEVA_WS,Aeva Technologies Inc Wt
138,139,105.URGN,乌龙制药
139,140,105.MFH,Mercurity Fintech Holding Inc
140,141,105.BFRI,Biofrontera Inc
141,142,107.LGL_WS,The LGL Group Inc Wt
142,143,106.IFIN_U,InFinT Acquisition Corp Unit Co
143,144,105.BKYI,生物钥匙国际
144,145,106.GROV,Grove Collaborative Holdings In
145,146,105.ECX,亿咖通科技
146,147,105.ICMB,Investcorp Credit Management BD
147,148,107.AIM,AIM ImmunoTech Inc
148,149,105.RFACR,RF Acquisition Corp Rt
149,150,105.JAGX,Jaguar Health Inc
150,151,105.BOOM,DMC Global Inc
151,152,105.ATXI,大道制药
152,153,105.ICU,SeaStar Medical Holding Corp
153,154,105.ANTX,AN2 Therapeutics Inc
154,155,105.OTRK,Ontrak Inc
155,156,105.COOLW,Corner Growth Acquisition Corp 
156,157,105.TEM,Tempus AI Inc-A
157,158,105.INVO,INVO BioScience Inc
158,159,105.VERO,Venus Concept Inc
159,160,105.ASCBW,A SPAC II Acquisition Corp Wt
160,161,105.SUGP,荣志集团
161,162,105.CORZW,Core Scientific Inc Wt
162,163,105.CVKD,Cadrenal Therapeutics Inc
163,164,105.KA,Kineta Inc
164,165,105.LMFA,LM Funding America Inc
165,166,105.RNLX,Renalytix plc ADR
166,167,105.QLI,祁连国际
167,168,105.DHAI,DIH Holding US Inc-A
168,169,105.AWIN,AERWINS Technologies Inc
169,170,105.ASTSW,AST SpaceMobile Inc Wt
170,171,105.TLPH,Talphera Inc
